texto,label
"Produto excelente, chegou antes do prazo!",positivo
"Não gostei do produto, veio com defeito.",negativo
"Entrega rápida, mas o produto não era o esperado.",neutro
"A qualidade é impressionante! Recomendo a todos.",positivo
"Tive um problema com o atendimento, muito demorado.",negativo
"O serviço é bom, mas o preço poderia ser melhor.",neutro
"Compra perfeita, tudo conforme o prometido.",positivo
"O pacote veio danificado e o item estava quebrado.",negativo
"A experiência de compra foi ok, nada de especial.",neutro
"Adorei o presente, superou minhas expectativas!",positivo
"Pior compra que já fiz, arrependido de ter gastado meu dinheiro.",negativo
"A cor do produto é diferente da foto, fiquei um pouco decepcionado.",neutro
"O suporte técnico resolveu meu problema rapidamente, muito satisfeito.",positivo
"A bateria do aparelho descarrega muito rápido, não vale a pena.",negativo
"Recebi o produto, mas ainda não tive tempo de testar.",neutro
"Incrível! Super fácil de usar e o resultado é fantástico.",positivo
"O site está sempre fora do ar, é impossível fazer o pedido.",negativo
"A embalagem é bonita, mas o conteúdo não me agradou tanto.",neutro
"Melhor custo-benefício do mercado, com certeza!",positivo
"Fui cobrado duas vezes pelo mesmo pedido, um absurdo!",negativo
